WU time,WU accumulation,,WU rate in ,RG time ,#of drops,inches of rain
6:29 PM,0,0.74,0,18:22:19,1,0.000551
6:34 PM,0.01,0.75,0.07,18:23:58,2,0.001102
6:39 PM,0.01,0.75,0.07,18:23:58,3,0.001653
6:44 PM,0.01,0.75,0.07,18:23:59,4,0.002204
6:49 PM,0.02,0.76,0.05,18:25:53,5,0.002755
6:54 PM,0.02,0.76,0.05,18:25:53,6,0.003306
6:59 PM,0.02,0.76,0.05,18:26:59,7,0.003857
7:04 PM,0.03,0.77,0.07,18:27:00,8,0.004408
7:09 PM,0.03,0.77,0.07,18:27:00,9,0.004959
7:14 PM,0.05,0.79,0.12,18:29:55,10,0.00551
7:19 PM,0.07,0.81,0.24,18:29:55,11,0.006061
7:24 PM,0.08,0.82,0.24,18:31:19,12,0.006612
7:29 PM,0.09,0.83,0.19,18:31:20,13,0.007163
7:34 PM,0.09,0.83,0.12,18:32:23,14,0.007714
7:39 PM,0.09,0.83,0.05,18:32:23,15,0.008265
7:44 PM,0.09,0.83,0,18:33:50,16,0.008816
7:49 PM,0.1,0.84,0.07,18:33:50,17,0.009367
7:54 PM,0.1,0.84,0.07,18:35:40,18,0.009918
7:59 PM,0.1,0.84,0.07,18:35:40,19,0.010469
8:04 PM,0.1,0.84,0,18:36:34,20,0.01102
8:09 PM,0.1,0.84,0,18:36:34,21,0.011571
8:14 PM,0.1,0.84,0,18:38:09,22,0.012122
8:19 PM,0.1,0.84,0,18:38:09,23,0.012673
8:24 PM,0.1,0.84,0,18:39:56,24,0.013224
8:29 PM,0.1,0.84,0,18:39:56,25,0.013775
8:34 PM,0.1,0.84,0,18:41:49,26,0.014326
8:39 PM,0.1,0.84,0,18:41:49,27,0.014877
8:44 PM,0.1,0.84,0,18:43:21,28,0.015428
8:49 PM,0.1,0.84,0,18:43:21,29,0.015979
8:54 PM,0.1,0.84,0,18:46:08,30,0.01653
8:59 PM,0.1,0.84,0,18:46:08,31,0.017081
9:04 PM,0.1,0.84,0,18:48:10,32,0.017632
9:09 PM,0.1,0.84,0,18:48:10,33,0.018183
9:14 PM,0.1,0.84,0,18:49:47,34,0.018734
9:19 PM,0.1,0.84,0,18:49:47,35,0.019285
9:24 PM,0.1,0.84,0,18:52:12,36,0.019836
9:29 PM,0.1,0.84,0,18:52:12,37,0.020387
9:34 PM,0.1,0.84,0,18:53:07,38,0.020938
9:39 PM,0.1,0.84,0,18:53:53,39,0.021489
9:44 PM,0.1,0.84,0,18:53:53,40,0.02204
9:49 PM,0.1,0.84,0,18:54:32,41,0.022591
9:54 PM,0.1,0.84,0,18:54:32,42,0.023142
9:59 PM,0.1,0.84,0,18:56:49,43,0.023693
10:04 PM,0.1,0.84,0,18:56:49,44,0.024244
10:09 PM,0.1,0.84,0,18:57:32,45,0.024795
10:14 PM,0.1,0.84,0,18:57:32,46,0.025346
10:19 PM,0.1,0.84,0,18:59:56,47,0.025897
10:24 PM,0.1,0.84,0,18:59:56,48,0.026448
10:29 PM,0.1,0.84,0,19:01:23,49,0.026999
10:34 PM,0.1,0.84,0,19:01:23,50,0.02755
10:39 PM,0.1,0.84,0,19:02:17,51,0.028101
10:44 PM,0.1,0.84,0,19:02:17,52,0.028652
10:49 PM,0.1,0.84,0,19:03:37,53,0.029203
10:54 PM,0.1,0.84,0,19:03:37,54,0.029754
10:59 PM,0.1,0.84,0,19:04:42,55,0.030305
11:04 PM,0.1,0.84,0,19:04:42,56,0.030856
11:09 PM,0.1,0.84,0,19:04:43,57,0.031407
11:14 PM,0.1,0.84,0,19:05:44,58,0.031958
11:19 PM,0.1,0.84,0,19:05:45,59,0.032509
11:24 PM,0.1,0.84,0,19:05:45,60,0.03306
11:29 PM,0.1,0.84,0,19:07:07,61,0.033611
11:34 PM,0.1,0.84,0,19:07:07,62,0.034162
11:39 PM,0.1,0.84,0,19:07:51,63,0.034713
11:44 PM,0.1,0.84,0,19:07:51,64,0.035264
11:49 PM,0.1,0.84,0,19:08:27,65,0.035815
11:54 PM,0.1,0.84,0,19:08:28,66,0.036366
11:59 PM,0.1,0.84,0,19:09:36,67,0.036917
,,,,19:09:37,68,0.037468
,,,,19:10:12,69,0.038019
,,,,19:10:12,70,0.03857
,,,,19:10:31,71,0.039121
,,,,19:10:31,72,0.039672
,,,,19:11:21,73,0.040223
,,,,19:11:22,74,0.040774
,,,,19:11:47,75,0.041325
,,,,19:11:47,76,0.041876
,,,,19:11:58,77,0.042427
,,,,19:11:58,78,0.042978
,,,,19:12:33,79,0.043529
,,,,19:12:33,80,0.04408
,,,,19:13:04,81,0.044631
,,,,19:13:04,82,0.045182
,,,,19:13:23,83,0.045733
,,,,19:13:23,84,0.046284
,,,,19:13:52,85,0.046835
,,,,19:13:52,86,0.047386
,,,,19:14:14,87,0.047937
,,,,19:14:14,88,0.048488
,,,,19:14:26,89,0.049039
,,,,19:14:26,90,0.04959
,,,,19:14:52,91,0.050141
,,,,19:14:52,92,0.050692
,,,,19:15:10,93,0.051243
,,,,19:15:11,94,0.051794
,,,,19:15:11,95,0.052345
,,,,19:15:25,96,0.052896
,,,,19:15:25,97,0.053447
,,,,19:15:26,98,0.053998
,,,,19:15:51,99,0.054549
,,,,19:15:51,100,0.0551
,,,,19:16:18,101,0.055651
,,,,19:16:18,102,0.056202
,,,,19:16:30,103,0.056753
,,,,19:16:45,104,0.057304
,,,,19:16:45,105,0.057855
,,,,19:16:58,106,0.058406
,,,,19:16:59,107,0.058957
,,,,19:17:23,108,0.059508
,,,,19:17:23,109,0.060059
,,,,19:17:42,110,0.06061
,,,,19:17:42,111,0.061161
,,,,19:17:53,112,0.061712
,,,,19:17:53,113,0.062263
,,,,19:18:22,114,0.062814
,,,,19:18:22,115,0.063365
,,,,19:18:36,116,0.063916
,,,,19:18:36,117,0.064467
,,,,19:19:06,118,0.065018
,,,,19:19:06,119,0.065569
,,,,19:19:27,120,0.06612
,,,,19:19:28,121,0.066671
,,,,19:19:28,122,0.067222
,,,,19:20:11,123,0.067773
,,,,19:20:11,124,0.068324
,,,,19:20:44,125,0.068875
,,,,19:20:45,126,0.069426
,,,,19:21:25,127,0.069977
,,,,19:21:25,128,0.070528
,,,,19:22:10,129,0.071079
,,,,19:22:10,130,0.07163
,,,,19:22:47,131,0.072181
,,,,19:22:48,132,0.072732
,,,,19:23:11,133,0.073283
,,,,19:23:11,134,0.073834
,,,,19:23:31,135,0.074385
,,,,19:23:31,136,0.074936
,,,,19:24:15,137,0.075487
,,,,19:24:16,138,0.076038
,,,,19:24:33,139,0.076589
,,,,19:25:13,140,0.07714
,,,,19:25:13,141,0.077691
,,,,19:25:54,142,0.078242
,,,,19:25:55,143,0.078793
,,,,19:26:21,144,0.079344
,,,,19:27:03,145,0.079895
,,,,19:27:03,146,0.080446
,,,,19:29:01,147,0.080997
,,,,19:29:01,148,0.081548
,,,,19:29:56,149,0.082099
,,,,19:29:56,150,0.08265
,,,,19:31:45,151,0.083201
,,,,19:31:45,152,0.083752
,,,,19:33:58,153,0.084303
,,,,19:33:58,154,0.084854
,,,,19:34:43,155,0.085405
,,,,19:34:43,156,0.085956
,,,,19:35:37,157,0.086507
,,,,19:35:38,158,0.087058
,,,,19:36:51,159,0.087609
,,,,19:36:51,160,0.08816
,,,,19:41:39,161,0.088711
,,,,19:45:50,162,0.089262
,,,,19:45:50,163,0.089813
,,,,19:48:30,164,0.090364
,,,,19:48:31,165,0.090915
,,,,19:48:45,166,0.091466
,,,,20:04:50,167,0.092017
,,,,20:04:50,168,0.092568
,,,,20:28:37,169,0.093119
,,,,20:28:37,170,0.09367
,,,,21:29:00,171,0.094221
,,,,21:29:00,172,0.094772
,,,,23:39:35,173,0.095323
,,,,23:39:35,174,0.095874
,,,,9:57:38,,